Street_ID,lat,lon
791-,753741.8507,2970854.983
456-,754442.8132,2970680.993
340-,754505.9351,2970105.424
445-,756837.0328,2969779.088
471-,756426.7981,2969656.748
476-,756874.2628,2969296.643
218-,756985.6096,2969084.088
471-,756977.6359,2968886.839
774-,749432.029,2968866.434
774-,749349.0137,2968848.831
774-,749260.5916,2968831.595
789-,749490.329,2968785.087
341-,757059.992,2968611.688
317-,749201.4087,968610.9049
587-,754201.7884,2968620.426
619-,755582.9333,2968558.779
788-,748759.4073,2968529.308
587-,754198.6792,2968552.183
788-,748657.8704,2968479.978
587-,754194.9036,2968485.839
471-,757612.1038,2968246.841
632-,755369.9144,2968222.799
752-,756330.8098,2968167.938
471-,757898.8831,2967945.733
541-,757222.1292,2967865.88
54-,758816.2871,2967700.114
170-,748925.9935,2967676.706
640-,750484.6879,2967668.619
54-,758729.7768,2967619.657
170-,748796.2943,2967595.862
796-,751300.5764,2967522.725
81-,755856.7694,2967364.632
81-,755955.5832,2967312.093
741-,752279.8625,967193.8976
741-,752286.7214,2967054.528
764-,753021.8896,2966799.462
471-,759047.5524,2966839.133
353-,757809.126,2966778.473
697-,757327.4636,2966747.776
114-,757693.8376,2966552.356
261-,753977.9244,966371.9589
609-,759136.8662,2966227.188
261-,754124.137,2966205.982
697-,756363.0046,2966191.658
609-,759614.835,2966159.514
23-,758982.6378,2966105.663
293-,754466.3289,2966030.34
471-,759071.0264,2966013.483
652-,756259.7696,2965931.277
697-,755776.4336,2965897.988
421-,758540.5111,965804.3744
11-,754173.7117,965684.1752
471-,759042.8191,2965658.368
170-,754116.6958,2965627.381
386-,756829.8954,2965498.512
39-,757673.2238,2965353.388
564-,759296.4101,2965344.171
170-,754658.7049,2965308.058
417-,753089.3356,2965305.641
293-,756144.1858,2965192.755
39-,757773.9539,965126.8981
170-,755058.2723,2965109.073
522-,755919.4077,2965097.612
243-,759968.7845,965059.7896
243-,760051.2177,2965050.345
296-,759811.6112,2965046.612
39-,757810.9305,2965041.996
528-,759867.2961,2965036.687
170-,755322.9292,2964949.315
575-,757465.0706,2964924.151
769-,756485.2133,2964853.472
442-,757700.1253,2964920.537
575-,757502.8826,2964837.49
184-,760364.9818,2964835.281
184-,759925.0477,964829.6149
184-,760025.515,2964825.607
468-,758469.8144,2964762.898
122-,760725.8499,2964610.8
170-,755687.7002,2964687.033
759-,752695.5375,2964651.469
366-,756283.8752,2964638.214
22-,755242.6384,2964623.175
471-,758961.9239,2964577.839
417-,753489.7856,964511.8665
471-,758950.5785,964445.9624
386-,755631.406,2964399.961
122-,760849.4303305 29,4395.04883
455-,756226.8651,2964383.028
581-,754603.1731,2964342.585
528-,759809.3599,2964275.642
149-,753948.6,2964245.949
650-,753728.2408,2964207.446
386-,753778.4464,2964166.432
528-,759835.4163,2964149.029
471-,758923.8814,2964092.492
479-,759256.3945,2964003.834
20-,755030.9098,2963988.728
346-,752806.1292,2963947.048
386-,752947.8162,2963890.11
435-,753128.6669,2963857.61
386-,752579.9856,2963847.216
386-,752719.9794,2963826.483
244-,758951.8724,2963698.155
643-,755717.5226,2963657.462
170-,757159.9262,2963590.033
623-,761623.9363,2963582.615
386-,751932.3894,2963542.487
528-,759751.34,2963521.948
170-,757319.6625,963515.7376
182-,757189.0436,2963479.584
142-,757867.457,2963420.909
370-,750338.5468,2963395.323
386-,751895.8413,2963419.095
528-,759777.9495,963390.4409
278-,750687.6232,2963346.029
293-,757694.4668,2963317.911
106-,756279.2892,2963311.567
346-,752946.7057,963281.9175
386-,751674.6052,2963260.422
170-,757662.6283,963267.7017
424-,752598.7962,2962589.743
417-,753616.8323,2963252.941
534-,751116.3881,2963088.159
586-,755629.4874,2963068.774
403-,754901.8756,2963031.227
182-,756269.7987,2963013.162
346-,753028.8115,962979.4949
127-,754440.411,2962943.545
412-,761836.4877,2962938.088
793-,752082.7687,2962914.254
255-,754070.6985,2962895.139
189-,750167.5819,2962880.448
500-,762252.4239,2962872.829
412-,761737.278,2962864.806
714-,758296.8373,2962854.477
287-,752274.70961909 2,62823.71241
367-,750675.6498,2962823.917
673-,761710.6025,2962816.106
714-,758105.7262,2962776.969
413-,760780.8776,2962757.22
412-,761216.3643,2962713.472
391-,761368.2521,2962690.879
546-,757780.4407,2962698.357
414-,761146.2365,2962580.785
92-,756793.1327,2962524.341
104-,756510.5007,2962519.855
412-,760359.1915,2962508.392
424-,752159.1938,2962478.296
92-,753762.1702,2962466.567
434-,762782.3454,2962363.831
371-,750928.3353,962359.2432
293-,758486.7959,2962348.712
470-,757918.8775,2962345.964
190-,749944.7386,2962307.407
190-,749499.4478,2962288.065
72-,749699.2066,2962267.712
527-,752119.0364,2962287.066
232-,754132.2141,2962181.854
293-,758793.69,2962166.724
517-,749907.1084,2962093.947
490-,752058.0102,2962027.601
490-,752199.3873,2961980.227
490-,752102.4488,2961972.616
490-,752019.2249,2961968.999
232-,754061.7684,2961963.375
434-,762682.1672,2961956.204
571-,760370.2062,2961955.407
490-,754603.7821,2961922.702
43-,761896.7265,2961920.509
490-,754809.4667,2961902.49
490-,755278.844,2961865.96
113-,761840.6505,2961863.018
490-,754924.93824251 2,61847.22814
490-,755615.1754,2961792.493
490-,755838.0985,961775.6098
490-,756073.8057,2961758.977
490-,750891.5789,2961746.497
490-,757173.3767,2961709.45
359-,758069.7722,961736.9636
567-,764916.62,2961692.498
737-,766179.6355,2961548.114
113-,763261.1319,2961573.288
359-,757790.9479,2961512.069
94-,757473.9715,2961471.944
490-,757791.0427,2961461.817
228-,762460.1023,2961434.718
99-,760983.6755,2961415.262
657-,757977.3613,2961410.372
571-,760226.5599,2961326.9
388-,764056.2924,2961311.502
304-,767725.1361,2961327.785
99-,761207.9096,2961297.047
582-,757643.0916,2961272.43
324-,764227.5932,2961282.228
734-,766499.257,2961184.912
